,Category,Description,Quantity,Type (Consumable / Return),Vendor,Vendor Part #,Vendor/Datasheet Link
Received,Sensor,Digital One-Wire Temperature Sensor,20,Consumable,Digi-Key,DS18B20+-ND,http://www.digikey.com/product-detail/en/maxim-integrated/DS18B20-/DS18B20--ND/956983
Received,Sensor,Analog Temperature Sensor,25,Consumable,Digi-Key,MCP9701A-E/TO-ND,http://www.digikey.com/product-detail/en/microchip-technology/MCP9701A-E-TO/MCP9701A-E-TO-ND/1212511
Received,Sensor,IR Emitter: SFH4545,50,Consumable,Mouser,720-SFH4545,http://www.mouser.com/ProductDetail/Osram-Opto-Semiconductor/SFH-4545/?qs=%2fha2pyFaduj3O3aQ06ldR2dK7nzyF11C03F9kDYGFPeM7Qi0vfMTkw%3d%3d&utm_source=octopart&utm_medium=aggregator&utm_campaign=720-SFH4545&utm_content=Osram%20Opto%20Semiconductor
Received,Sensor,IR Reciever: TEFT4300,50,Consumable,Mouser,782-TEFT4300,http://www.mouser.com/ProductDetail/Vishay/TEFT4300/?qs=%2fha2pyFadug8P0H9M1P0nIZf3YVPtYP9UkkaZPC6Ep%2flH05WhjG%252biw%3d%3d&utm_source=octopart&utm_medium=aggregator&utm_campaign=782-TEFT4300&utm_content=Vishay
Received,Sensor,Galvanic Skin Response sensor,3,Consumable,Mouser,713-101020052,http://www.mouser.com/ProductDetail/Seeed-Studio/101020052/?qs=%2fha2pyFadugSOI%2fb8S1mw0Z5p7yiE2BIJEC68jSciwg%3d
Received,Sensor,Altitude/Pressure Sensor,5,Consumable,Pololu ,2126,https://www.pololu.com/product/2126
Received,Sensor,Piezo Vibration Sensor - Large with Mass,10,Consumable,SparkFun,SEN-09197,https://www.sparkfun.com/products/9197
Received,Sensor,SparkFun Triple Axis Accelerometer Breakout ,10,Consumable,SparkFun,SEN-09836,https://www.sparkfun.com/products/9836
Received,Sensor,MyoWare Muscle Sensor Development Kit,10,Consumable,SparkFun,KIT-13772,https://www.sparkfun.com/products/13772
Received,Sensor,"Flex Sensor 2.2""",15,Consumable,SparkFun,SEN-10264,https://www.sparkfun.com/products/10264
